DNI;PLAZOMESESCREDITO;HISTORIALCREDITO;PROPOSITOCREDITO;MONTOCREDITO;SALDOCUENTAAHORROS;TIEMPOEMPLEO;TASAPAGO;ESTADOCIVILYSEXO;GARANTE;AVALUOVIVIENDA;ACTIVOS;EDAD;VIVIENDA;CANTIDADCREDITOSEXISTENTES;EMPLEO;TRABAJADOREXTRANJERO;TIPOCLIENTE
104600001;6;A34;A43;1169.0;A65;A75;4.0;A93;A101;4.0;A121;67;A152;2;A173;A201;1
104600002;48;A32;A43;5951.0;A61;A73;2.0;A92;A101;2.0;A121;22;A152;1;A173;A201;2
104600003;12;A34;A46;2096.0;A61;A74;2.0;A93;A101;3.0;A121;49;A152;1;A172;A201;1
104600004;42;A32;A42;7882.0;A61;A74;2.0;A93;A103;4.0;A122;45;A153;1;A173;A201;1
104600005;24;A33;A40;4870.0;A61;A73;3.0;A93;A101;4.0;A124;53;A153;2;A173;A201;2
104600006;36;A32;A46;9055.0;A65;A73;2.0;A93;A101;4.0;A124;35;A153;1;A172;A201;1
104600007;24;A32;A42;2835.0;A63;A75;3.0;A93;A101;4.0;A122;53;A152;1;A173;A201;1
104600008;36;A32;A41;6948.0;A61;A73;2.0;A93;A101;2.0;A123;35;A151;1;A174;A201;1
104600009;12;A32;A43;3059.0;A64;A74;2.0;A91;A101;4.0;A121;61;A152;1;A172;A201;1
104600010;30;A34;A40;5234.0;A61;A71;4.0;A94;A101;2.0;A123;28;A152;2;A174;A201;2
104600011;12;A32;A40;1295.0;A61;A72;3.0;A92;A101;1.0;A123;25;A151;1;A173;A201;2
104600012;48;A32;A49;4308.0;A61;A72;3.0;A92;A101;4.0;A122;24;A151;1;A173;A201;2
104600013;12;A32;A43;1567.0;A61;A73;1.0;A92;A101;1.0;A123;22;A152;1;A173;A201;1
104600014;24;A34;A40;1199.0;A61;A75;4.0;A93;A101;4.0;A123;60;A152;2;A172;A201;2
104600015;15;A32;A40;1403.0;A61;A73;2.0;A92;A101;4.0;A123;28;A151;1;A173;A201;1
104600016;24;A32;A43;1282.0;A62;A73;4.0;A92;A101;2.0;A123;32;A152;1;A172;A201;2
104600017;24;A34;A43;2424.0;A65;A75;4.0;A93;A101;4.0;A122;53;A152;2;A173;A201;1
104600018;30;A30;A49;8072.0;A65;A72;2.0;A93;A101;3.0;A123;25;A152;3;A173;A201;1
104600019;24;A32;A41;12579.0;A61;A75;4.0;A92;A101;2.0;A124;44;A153;1;A174;A201;2
104600020;24;A32;A43;3430.0;A63;A75;3.0;A93;A101;2.0;A123;31;A152;1;A173;A201;1
104600021;9;A34;A40;2134.0;A61;A73;4.0;A93;A101;4.0;A123;48;A152;3;A173;A201;1
104600022;6;A32;A43;2647.0;A63;A73;2.0;A93;A101;3.0;A121;44;A151;1;A173;A201;1
104600023;10;A34;A40;2241.0;A61;A72;1.0;A93;A101;3.0;A121;48;A151;2;A172;A202;1
104600024;12;A34;A41;1804.0;A62;A72;3.0;A93;A101;4.0;A122;44;A152;1;A173;A201;1
